Q_scale,z_mean,z_std,mean_trace_P
0.1,3.3857305590415567,2.8192516425078673,0.0009389265065480288
0.2,2.723803724367977,2.2197829013369774,0.0011276792422437708
0.25,2.532080982942692,2.0468816309738744,0.0011900883595863667
0.3,2.383118197778409,1.9130800172237903,0.0012414582864570091
