window_length,nis_mean,nis_deviation,lag1_autocorr,R_variance,score
504,9.00886298942503,2.0088629894250296,0.18888441589499835,1.880275222164927e-07,2.9532850877027736
252,9.013999380085437,2.013999380085437,0.18888441589499835,2.8165249494390263e-07,2.9584214877256785
378,9.060736219504946,2.060736219504946,0.18888441589499835,2.195766210656367e-07,3.0051583209376
189,9.072810576217776,2.072810576217776,0.18888441589499835,3.4455635839484995e-07,3.0172326901484037
126,9.13317130883704,2.1331713088370403,0.18888441589499835,4.654762552147776e-07,3.0775934348596574
63,10.6995727849492,3.6995727849492006,0.18888441589499835,8.290046152075493e-07,4.643994947324654
