window_length,oos_log_likelihood
378,65150.90367503466
336,65138.003893789544
357,65121.15832575287
315,65104.32719097619
294,65016.265804132265
273,64990.91260746713
252,64927.69333471693
504,64689.41899053838
63,63487.18726039147
