time_index,maturity_i,maturity_j,covariance
0,7 Yr,3 Mo,0.0025401390902322772
0,7 Yr,4 Mo,0.003930011373213335
0,7 Yr,6 Mo,0.00725052540316483
0,7 Yr,1 Yr,0.01378883018403147
0,7 Yr,2 Yr,0.024248131182199206
0,7 Yr,3 Yr,0.027051754721736286
0,7 Yr,5 Yr,0.027342987119012684
0,7 Yr,7 Yr,0.026312683268523866
0,7 Yr,10 Yr,0.024101250049550764
0,7 Yr,20 Yr,0.020856374208861904
0,7 Yr,30 Yr,0.019252118907021772
0,10 Yr,1 Mo,0.0008966893919727226
0,10 Yr,2 Mo,0.002051915959334088
0,10 Yr,3 Mo,0.0022745364173426185
0,10 Yr,4 Mo,0.0032318087122861125
0,10 Yr,6 Mo,0.005912904572295697
0,10 Yr,1 Yr,0.01128394139583819
0,10 Yr,2 Yr,0.020248859370769468
0,10 Yr,3 Yr,0.023369782568882447
0,10 Yr,5 Yr,0.024469533271759315
0,10 Yr,7 Yr,0.024101250049550767
0,10 Yr,10 Yr,0.02283293604506632
0,10 Yr,20 Yr,0.02063788420516653
0,10 Yr,30 Yr,0.019544545201963463
0,20 Yr,1 Mo,0.0014190086748198788
0,20 Yr,2 Mo,0.0008172019635558736
0,20 Yr,3 Mo,0.0017507375813343546
0,20 Yr,4 Mo,0.0020593201626778104
0,20 Yr,6 Mo,0.0040243202549533124
0,20 Yr,1 Yr,0.007684129729824207
0,20 Yr,2 Yr,0.014840780105059665
0,20 Yr,3 Yr,0.018392808708664797
0,20 Yr,5 Yr,0.020461854897621267
0,20 Yr,7 Yr,0.020856374208861904
0,20 Yr,10 Yr,0.020637884205166525
0,20 Yr,20 Yr,0.02012463773452566
0,20 Yr,30 Yr,0.019537208619022844
0,30 Yr,1 Mo,0.002201159408993679
0,30 Yr,2 Mo,0.0008320061696503033
0,30 Yr,3 Mo,0.001796228762966274
0,30 Yr,4 Mo,0.001781423812131271
0,30 Yr,6 Mo,0.003224368173308446
0,30 Yr,1 Yr,0.0062408668337799456
0,30 Yr,2 Yr,0.0123819340582626
0,30 Yr,3 Yr,0.016047630483689863
0,30 Yr,5 Yr,0.018518014977767984
0,30 Yr,7 Yr,0.01925211890702177
0,30 Yr,10 Yr,0.01954454520196346
0,30 Yr,20 Yr,0.019537208619022844
0,30 Yr,30 Yr,0.01948797250586229
1,1 Mo,1 Mo,0.07093294397263317
1,1 Mo,2 Mo,0.012009506224833776
1,1 Mo,3 Mo,0.009289272515054051
1,1 Mo,4 Mo,0.00861634313845652
1,1 Mo,6 Mo,0.009258965818989643
1,1 Mo,1 Yr,0.007390151259748787
1,1 Mo,2 Yr,0.003423966618573205
1,1 Mo,3 Yr,5.981791790224689e-05
1,1 Mo,5 Yr,-0.0008054087301015158
1,1 Mo,7 Yr,-0.00024390670955801608
1,1 Mo,10 Yr,0.0008980195235957908
1,1 Mo,20 Yr,0.0014203445490303223
1,1 Mo,30 Yr,0.0022024407249411422
1,2 Mo,1 Mo,0.012009506224833775
1,2 Mo,2 Mo,0.014108728984149069
1,2 Mo,3 Mo,0.009039562312959144
1,2 Mo,4 Mo,0.007824508339046278
1,2 Mo,6 Mo,0.006981388729377534
1,2 Mo,1 Yr,0.008205614171088324
1,2 Mo,2 Yr,0.006945052347360061
1,2 Mo,3 Yr,0.004577603323176226
1,2 Mo,5 Yr,0.003230922363558446
1,2 Mo,7 Yr,0.002595390607874672
1,2 Mo,10 Yr,0.0020489127126970476
1,2 Mo,20 Yr,0.0008141887058064522
1,2 Mo,30 Yr,0.0008291149348146981
1,3 Mo,1 Mo,0.009289272515054051
1,3 Mo,2 Mo,0.009039562312959144
1,3 Mo,3 Mo,0.008293997757480074
1,3 Mo,4 Mo,0.0063220992965346366
1,3 Mo,6 Mo,0.006216484366532721
1,3 Mo,1 Yr,0.006443149501900035
1,3 Mo,2 Yr,0.005489561506409398
1,3 Mo,3 Yr,0.003705606294781176
1,3 Mo,5 Yr,0.0029578528215286285
1,3 Mo,7 Yr,0.0025336648753598455
1,3 Mo,10 Yr,0.002267818103753358
1,3 Mo,20 Yr,0.0017439959444465957
1,3 Mo,30 Yr,0.00178976045839592
1,4 Mo,1 Mo,0.008616343138456519
1,4 Mo,2 Mo,0.007824508339046278
1,4 Mo,3 Mo,0.0063220992965346366
1,4 Mo,4 Mo,0.006721083254919697
1,4 Mo,6 Mo,0.0064267444731275795
1,4 Mo,1 Yr,0.0072661040742666785
1,4 Mo,2 Yr,0.006941425636394909
1,4 Mo,3 Yr,0.0055176575064547154
1,4 Mo,5 Yr,0.004477705824716689
1,4 Mo,7 Yr,0.0039238415404522055
1,4 Mo,10 Yr,0.0032254062434373476
1,4 Mo,20 Yr,0.0020528954298170803
1,4 Mo,30 Yr,0.0017752595761783992
1,6 Mo,1 Mo,0.009258965818989643
1,6 Mo,2 Mo,0.006981388729377533
1,6 Mo,3 Mo,0.00621648436653272
1,6 Mo,4 Mo,0.006426744473127579
1,6 Mo,6 Mo,0.008373308704406803
1,6 Mo,1 Yr,0.010057387580179874
1,6 Mo,2 Yr,0.01143212794372186
1,6 Mo,3 Yr,0.009805721948521836
1,6 Mo,5 Yr,0.008287070119222943
1,6 Mo,7 Yr,0.007255096552462203
1,6 Mo,10 Yr,0.005917648134632514
1,6 Mo,20 Yr,0.004029080466207689
1,6 Mo,30 Yr,0.0032289353230988502
1,1 Yr,1 Mo,0.007390151259748787
1,1 Yr,2 Mo,0.008205614171088324
1,1 Yr,3 Mo,0.006443149501900035
1,1 Yr,4 Mo,0.007266104074266679
1,1 Yr,6 Mo,0.010057387580179874
1,1 Yr,1 Yr,0.016878145120973232
1,1 Yr,2 Yr,0.02053335116372237
1,1 Yr,3 Yr,0.018371939884125006
1,1 Yr,5 Yr,0.015834337508730662
1,1 Yr,7 Yr,0.013780136362185788
1,1 Yr,10 Yr,0.01127491983854486
1,1 Yr,20 Yr,0.007675076989380777
1,1 Yr,30 Yr,0.006232181078835525
1,2 Yr,1 Mo,0.003423966618573205
1,2 Yr,2 Mo,0.006945052347360062
1,2 Yr,3 Mo,0.0054895615064094
1,2 Yr,4 Mo,0.00694142563639491
1,2 Yr,6 Mo,0.01143212794372186
1,2 Yr,1 Yr,0.02053335116372237
1,2 Yr,2 Yr,0.031142799383692243
1,2 Yr,3 Yr,0.030175605653775854
1,2 Yr,5 Yr,0.027185890368600703
1,2 Yr,7 Yr,0.024226390130174753
1,2 Yr,10 Yr,0.020226298615427272
1,2 Yr,20 Yr,0.014818141039448953
1,2 Yr,30 Yr,0.012360212864774841
1,3 Yr,1 Mo,5.981791790224678e-05
1,3 Yr,2 Mo,0.004577603323176226
1,3 Yr,3 Mo,0.003705606294781177
1,3 Yr,4 Mo,0.0055176575064547154
1,3 Yr,6 Mo,0.009805721948521834
1,3 Yr,1 Yr,0.018371939884125003
1,3 Yr,2 Yr,0.030175605653775854
1,3 Yr,3 Yr,0.03151355150345386
1,3 Yr,5 Yr,0.029547285912569554
1,3 Yr,7 Yr,0.02706965478003006
1,3 Yr,10 Yr,0.023388357749280088
1,3 Yr,20 Yr,0.018411449012325075
1,3 Yr,30 Yr,0.016065514811687574
1,5 Yr,1 Mo,-0.0008054087301015163
1,5 Yr,2 Mo,0.0032309223635584457
1,5 Yr,3 Mo,0.002957852821528628
1,5 Yr,4 Mo,0.004477705824716689
1,5 Yr,6 Mo,0.008287070119222943
1,5 Yr,1 Yr,0.01583433750873066
1,5 Yr,2 Yr,0.0271858903686007
1,5 Yr,3 Yr,0.02954728591256955
