date,mean_offdiag_correlation
1990-10-02,0.31576752601454056
1990-10-03,0.3139401702556899
1990-10-04,0.31290747657517276
1990-10-05,0.3134071870883129
1990-10-09,0.31390876158404996
1990-10-10,0.3142573385589125
1990-10-11,0.3145954291298531
1990-10-12,0.3148535621324328
1990-10-15,0.3155720228047286
1990-10-16,0.30948177418016326
1990-10-17,0.3100184657408246
1990-10-18,0.30385963617106326
1990-10-19,0.3037536475958823
1990-10-22,0.3026214367046983
1990-10-23,0.30239043324448217
1990-10-24,0.3027814569073443
1990-10-25,0.3024400907033575
1990-10-26,0.3027746594288336
1990-10-29,0.30239208567297277
1990-10-30,0.30880110236328057
1990-10-31,0.30813667208316114
1990-11-01,0.3100191530682422
1990-11-02,0.30803420118122854
1990-11-05,0.3064053116443414
1990-11-06,0.306400323407447
1990-11-07,0.3072107250401961
1990-11-08,0.30674629371817264
1990-11-09,0.3026608239813988
1990-11-13,0.30225253481672454
1990-11-14,0.29932741820814995
1990-11-15,0.2992843861361111
1990-11-16,0.2968396048462964
1990-11-19,0.2960070099730109
1990-11-20,0.28485300423724136
1990-11-21,0.2885968731836825
1990-11-23,0.2881850806766059
1990-11-26,0.2879849231098304
1990-11-27,0.29141110839973344
1990-11-28,0.2936869528282058
1990-11-29,0.29372454255791514
1990-11-30,0.2915392399058964
1990-12-03,0.29161508175714407
1990-12-04,0.29041740898861534
1990-12-05,0.2928517967400552
1990-12-06,0.29362043090363643
1990-12-07,0.29446872337848257
1990-12-10,0.29211417465971024
1990-12-11,0.29271167427960615
1990-12-12,0.2924403904433744
1990-12-13,0.2910440736505928
1990-12-14,0.2909944340805126
1990-12-17,0.2899990970777273
1990-12-18,0.2898713938235481
1990-12-19,0.2907084022170642
1990-12-20,0.29047732314142377
1990-12-21,0.2880789745094071
1990-12-24,0.28798813480650304
1990-12-26,0.28863226586528123
1990-12-27,0.28953060338113207
1990-12-28,0.2896471328940162
1990-12-31,0.2899797454982188
1991-01-02,0.2907911366932464
1991-01-03,0.29100303098056207
1991-01-04,0.29246943090756916
1991-01-07,0.2900617166173287
1991-01-08,0.2896615401909405
1991-01-09,0.28929237325884355
1991-01-10,0.28935464135916944
1991-01-11,0.2906783850548705
1991-01-14,0.2907570847189989
1991-01-15,0.2907149525527529
1991-01-16,0.2934717361275589
1991-01-17,0.2921633590291094
1991-01-18,0.2904870233062524
1991-01-22,0.29094587645255027
1991-01-23,0.29294536299744156
1991-01-24,0.29398365226375966
1991-01-25,0.29358390906255977
1991-01-28,0.2936852217028478
1991-01-29,0.29617000802228693
1991-01-30,0.2966676454626121
1991-01-31,0.2973478212419777
1991-02-01,0.2979744296023947
1991-02-04,0.29703571281208935
1991-02-05,0.29753672397356734
1991-02-06,0.285712972093376
1991-02-07,0.28649046905607084
1991-02-08,0.2864228037858187
1991-02-11,0.28749011869551616
1991-02-12,0.2863495083296269
1991-02-13,0.27964214097990364
1991-02-14,0.28002527641922953
1991-02-15,0.2797493675746374
1991-02-19,0.2790213518339491
1991-02-20,0.27870107127042965
1991-02-21,0.2761809032757257
1991-02-22,0.27561482622131855
1991-02-25,0.27549761555253227
1991-02-26,0.27491129936717207
1991-02-27,0.27541925503599
1991-02-28,0.27627190709384203
1991-03-01,0.27616373930046767
1991-03-04,0.277921384003443
1991-03-05,0.2806468949445074
1991-03-06,0.2733664439299576
1991-03-07,0.27153203053958086
1991-03-08,0.2726396550642205
1991-03-11,0.2719875477241803
1991-03-12,0.27065037605419906
1991-03-13,0.27068686360126737
1991-03-14,0.2698864928458187
1991-03-15,0.2694593640636425
1991-03-18,0.26723953608409107
1991-03-19,0.2663284510246021
1991-03-20,0.2669551435632188
1991-03-21,0.2853709422396102
1991-03-22,0.28474067241103407
1991-03-25,0.2837448178979726
1991-03-26,0.28313836894626265
1991-03-27,0.28209074709436194
1991-03-28,0.28025034624260753
1991-04-01,0.28059935936859026
1991-04-02,0.27938216168155794
1991-04-03,0.27709797890743143
1991-04-04,0.2763127602454208
1991-04-05,0.2774805272490928
1991-04-08,0.27587745408019787
1991-04-09,0.2765125146719816
1991-04-10,0.2746182188081362
1991-04-11,0.27328832758766036
1991-04-12,0.27109810311381677
1991-04-15,0.271260254587769
1991-04-16,0.26718782235728694
1991-04-17,0.2665809216378645
1991-04-18,0.2677518816450775
1991-04-19,0.2672923996901416
1991-04-22,0.26753817754699066
1991-04-23,0.2679871827882356
1991-04-24,0.2672169227566945
1991-04-25,0.2668645740273913
1991-04-26,0.2667228042711193
1991-04-29,0.26715422768046176
1991-04-30,0.2666675085482526
1991-05-01,0.2651200378546521
1991-05-02,0.2637509992014093
1991-05-03,0.26403454498759976
1991-05-06,0.2624987199799288
1991-05-07,0.25956668155784546
1991-05-08,0.2596622870261015
1991-05-09,0.2596005367842092
1991-05-10,0.2558103437805344
1991-05-13,0.2588519110414992
1991-05-14,0.25895200734621293
1991-05-15,0.2590006504542463
1991-05-16,0.2593844586013661
1991-05-17,0.25924558413087984
1991-05-20,0.25911207968218414
1991-05-21,0.25668991703458954
1991-05-22,0.25678945988207463
1991-05-23,0.25808277844089583
1991-05-24,0.25671270416461006
1991-05-28,0.25617185327036524
1991-05-29,0.2635109687304655
1991-05-30,0.2652975161328949
1991-05-31,0.26502792115295604
1991-06-03,0.2657884519888426
1991-06-04,0.2642205712552336
1991-06-05,0.26549324229780374
1991-06-06,0.2655472168078827
1991-06-07,0.26579965699519437
1991-06-10,0.2667550132039548
1991-06-11,0.2687884147619087
1991-06-12,0.26867375701485974
1991-06-13,0.26815464860548605
