date,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6
1990-10-02,0.0013033057946158172,0.0007862846891807439,0.0002933203536886826,0.00019481022139041266,0.00018803385550047097,9.658291510357171e-05
1990-10-03,0.0013032926007710017,0.0007870784199897492,0.00029575763661027964,0.0001951825997927031,0.00019186684487846155,9.793397951590423e-05
1990-10-04,0.0013029406367154963,0.0007865141775728134,0.00029718205425981247,0.00019652914479731783,0.00019274467183089954,9.825193444155952e-05
1990-10-05,0.0013036107437961564,0.0007835912363364965,0.00029768454794941305,0.00019761085734365446,0.0001929938879960309,9.802319357394848e-05
1990-10-09,0.001304768695994881,0.0007833238052182276,0.0002975877293023674,0.00019777783162489249,0.0001933698916950752,9.798515955895587e-05
1990-10-10,0.0013047131649264955,0.0007833908502936992,0.0002977868191855845,0.00019657212307476007,0.00019263064972512857,9.797883650863198e-05
1990-10-11,0.0013051924075586543,0.0007818432244825228,0.0002970328767305907,0.0001962231325311387,0.00019268214753702202,9.775503901237127e-05
1990-10-12,0.001306911476519577,0.0007819320562465354,0.0002964415109372044,0.0001961507979504358,0.000191487547061899,9.752222149614847e-05
1990-10-15,0.0013064770468991524,0.0007774298185686498,0.00029674785503247433,0.00019582586660251336,0.00019168982526727947,9.741914242333017e-05
1990-10-16,0.0012758548348408352,0.0007750128574300794,0.00029710794785413737,0.00019444905172587076,0.00019211833133689566,9.835110096798223e-05
1990-10-17,0.0012759541120096138,0.0007730307940193804,0.0002953542782741417,0.00019458379976262366,0.00018995626594860412,9.823609180223723e-05
1990-10-18,0.00125169971422352,0.0007734592056516882,0.00029544204732554353,0.000194474627835556,0.00018917939526503065,9.767401607626133e-05
1990-10-19,0.0012529924429136852,0.0007744297070269106,0.0002949615094507319,0.00019431979676811864,0.00018887235176942452,9.88697268229289e-05
1990-10-22,0.0012530711987052167,0.0007771105660348884,0.0002949584257393392,0.00019424401673695844,0.0001883589358048318,0.00010126415413306472
1990-10-23,0.0012532874260866279,0.0007764770930804238,0.00029397820971657096,0.0001948078644947268,0.00018888034246493162,0.00010062159843411868
1990-10-24,0.0012492341293888494,0.0007677833527885286,0.0002946233861367696,0.0001953877539722746,0.0001889157441325102,0.00010056342640726763
1990-10-25,0.001246922384823444,0.0007665790548710201,0.00029445912120539317,0.0001953561294684928,0.00018896001170784824,0.00010101880200100189
1990-10-26,0.0012440311769921987,0.0007628898589437183,0.0002946242529181874,0.00019562648278554943,0.00018815509649724904,0.0001030577842932968
1990-10-29,0.0012432241016583328,0.0007628964362409788,0.0002925169024534189,0.00019545308599670517,0.0001883191938351045,0.00010408316196965973
1990-10-30,0.0012727976190251426,0.0007628501521713519,0.0002915174268024807,0.00019647689323026924,0.00018481844743643608,0.00010471733348691868
1990-10-31,0.0012713173919702645,0.0007607348142509218,0.000291976927003177,0.00019873323812407169,0.00018432145895106304,0.00010471044762420367
1990-11-01,0.0012886533386410582,0.0007610205193135684,0.0002920590929659073,0.0001991574472685595,0.00018419281750344343,0.00010411758398776358
1990-11-02,0.001287749809226688,0.0007612128842221413,0.0002920353566906941,0.00019976182215276556,0.00018316264990231586,0.00010493125562319513
1990-11-05,0.0012872539445120995,0.000764858359357108,0.00029281942084170083,0.00020080770168072145,0.00018364772892460178,0.00010592914248376842
1990-11-06,0.0012874517132199477,0.0007669144684132719,0.0002927686701935983,0.00019998037699153358,0.00018195787902667098,0.00010586622254437807
1990-11-07,0.0012876495895995516,0.000766275226366138,0.00029140115363691585,0.0001999826592862263,0.0001818089420102843,0.00010366588447188297
1990-11-08,0.0012860242116665668,0.0007662735111711715,0.0002920314577762922,0.00020008903320956433,0.00018350595428455474,0.00010380051696265055
1990-11-09,0.0012725537524223426,0.0007608218921979998,0.00029304903952080664,0.00020031954344512616,0.00018434060774166292,0.000104425003193363
1990-11-13,0.0012719288843381906,0.000758968533256632,0.00029507704446113365,0.0001993855381534391,0.0001844057098560075,0.00010460253378779771
1990-11-14,0.001258493719685038,0.0007533871567337148,0.0002929873079422758,0.00019933777143421434,0.00018411815764068196,0.00010522211215197627
1990-11-15,0.001267177629396841,0.000768475066638652,0.000289906047680631,0.00019923356787271337,0.0001842498847154282,0.0001043637352135336
1990-11-16,0.0012617713203869714,0.0007696536244368568,0.000290652380696727,0.00019994390279812533,0.00018444089971513973,0.00010558912182827983
1990-11-19,0.0012778932331263383,0.000786827862201074,0.0002912340767989737,0.0001998897507758847,0.00018495812448448263,0.00010506984039654639
1990-11-20,0.0012443979584788297,0.0007905742828054294,0.0002906334287215204,0.00020019756834608026,0.00018449523132859133,0.00010763830524024888
1990-11-21,0.0012783394138718394,0.000788674799055013,0.0002922913915080674,0.00020111931755986023,0.00018284010395204015,0.00010632503330927901
1990-11-23,0.0012773087299844423,0.0007868650237400955,0.0002926280722955759,0.00020119134140621995,0.00018278658539065568,0.00010211862808830943
1990-11-26,0.0012767565310290655,0.000786083721761255,0.0002924223483229374,0.00020122965554033402,0.0001832188587609707,0.00010118768434803814
1990-11-27,0.0012942482569598007,0.000781834263463201,0.00029219107225017483,0.00020180890294971483,0.0001827614284357799,9.96338215574294e-05
1990-11-28,0.0012976876516305285,0.0007789673820142738,0.00029129202072002505,0.00020160189547861445,0.00018274837117959546,9.866714877626185e-05
1990-11-29,0.001299335972469319,0.0007776891728215095,0.0002912893469025578,0.00020108928092589124,0.00018124538660272218,9.981253556949947e-05
1990-11-30,0.0012891099832196993,0.0007773064727458243,0.00029150301155558893,0.00020104338712669697,0.0001797359360121832,0.00010048130501640658
1990-12-03,0.001289004383406248,0.000777203978399276,0.00029044850912090994,0.0001993374360992944,0.00017810572580878817,0.00010006803288418315
1990-12-04,0.0012775027392826059,0.0007770005324723057,0.000289506976777712,0.00019905140164381158,0.0001778955717460405,0.00010053719222262374
1990-12-05,0.0012816631164796056,0.0007739655222078194,0.00028886338826467805,0.000196163440016067,0.0001763671937737505,0.00010091519523788065
1990-12-06,0.0012832987402364739,0.0007736158443065868,0.0002888607945527989,0.0001956692337548496,0.00017420972667519009,0.00010107001148060083
1990-12-07,0.001282415450039566,0.000773214333715061,0.0002864180944237881,0.00019530791635472868,0.0001737289678193875,0.00010119885778086812
1990-12-10,0.001264852476838619,0.000773901348801238,0.00028370089737109774,0.00019544711982474682,0.00017257330680012274,0.00010107544703167659
1990-12-11,0.00126741008292168,0.0007741922867626275,0.00028421876214398267,0.00019583722548535993,0.00017242993448472876,0.0001012585771782211
1990-12-12,0.0012666682586213868,0.000770488166378746,0.00028645413279357643,0.00019599627151868315,0.00017188538444120688,0.0001016898959716023
1990-12-13,0.0012620475206144481,0.0007715877617782789,0.00028645272521965503,0.00019606678478206423,0.00017158684162677163,0.00010184810997078216
1990-12-14,0.0012622200314985862,0.0007724989272673163,0.0002863950482390134,0.0001955026203017886,0.00017129719005124609,0.00010196921491884857
1990-12-17,0.001258500607500911,0.0007711414560272851,0.0002866246356848504,0.00019551001004610206,0.00017066415063303096,0.00010209114889522023
1990-12-18,0.0012587028953639269,0.0007716564996974002,0.00028675606316575224,0.0001946026745818431,0.00017070782807929923,0.00010072504106877714
1990-12-19,0.0012594013739414586,0.0007670252045487313,0.00028691675639927483,0.0001937931956122635,0.00017070363945672712,0.00010078257473414432
1990-12-20,0.0012595328136710147,0.0007677647847869679,0.00028593535057389567,0.00019386569494848565,0.00017066789017837784,0.00010223129733935895
1990-12-21,0.001254773789318855,0.0007680208990895066,0.00028626035116605515,0.0001952325936994162,0.00017285625189020218,0.00010272363995066547
1990-12-24,0.0012540161487363715,0.0007682373548036018,0.0002865917380502993,0.0001947084067943281,0.00017288280973261734,0.00010267203810478262
1990-12-26,0.0012580910126463846,0.0007691144292929963,0.00028722789422268514,0.0001947397233753625,0.00017234801135235432,0.00010129613872441684
1990-12-27,0.0012601062006275944,0.0007703808498084196,0.0002865904151056442,0.00019289041806111896,0.00017235564879220774,0.0001019847003356147
1990-12-28,0.0012601611527409964,0.0007702392941570896,0.00028657606274912195,0.00019172817842996907,0.0001717000136398677,0.00010255038122385619
1990-12-31,0.0012586641263712165,0.0007633166885211042,0.0002867985035620889,0.00019148447714850963,0.00017165848640014346,0.00010353605109003847
1991-01-02,0.0012588614159609122,0.0007553161180047827,0.0002868241178060692,0.00019125467435829294,0.00017191828163846943,0.00010480688911887371
1991-01-03,0.0012594942818211143,0.0007548555263871433,0.00028697829149324243,0.00019096834584468359,0.0001718698995554139,0.00010708627687280243
1991-01-04,0.0012630616221688787,0.000755665913294808,0.0002856423412590221,0.00019093188921849257,0.0001718469354045795,0.00010791108115901988
1991-01-07,0.0012558704395280898,0.0007554226782456958,0.00028504156953211595,0.0001905638736843236,0.0001718659004838422,0.00010881420479793374
1991-01-08,0.0012559068085525853,0.0007564282672146497,0.0002861506717837658,0.00019067456246447213,0.00017189642601172117,0.00010905880048300562
1991-01-09,0.0012560717439402721,0.0007635466607607076,0.00028629565837851154,0.00019045995988101742,0.00017229435812612416,0.00010921841484666689
1991-01-10,0.0012564424010537041,0.0007681860542055646,0.00028361466693578043,0.00019047457815616259,0.00017365118306705265,0.00010883112306543543
1991-01-11,0.001261891239107613,0.0007679348982144779,0.0002836419193021319,0.00019058501324506193,0.00017342803852377783,0.00011062312241533674
1991-01-14,0.0012638385267402055,0.0007660003536513748,0.0002852233806575165,0.0001906372748017385,0.00017389966244393115,0.00011067240509613356
1991-01-15,0.0012640134080774813,0.0007653643457291808,0.0002851242532226005,0.00019099417182835118,0.0001739558255280692,0.00011108202288531744
1991-01-16,0.0012740332920213634,0.0007649666682077924,0.0002848089964925501,0.00019130599317859277,0.000173127477239215,0.00011099593701278647
