date,var_1 Yr,var_10 Yr,var_2 Yr,var_3 Mo,var_5 Yr,var_6 Mo
1990-10-02,0.0004956533402408,0.0007041916453737,0.0004174335849661,0.0004503546535825,0.0002920622287418,0.0005026423765748
1990-10-03,0.0005014948718923,0.0007049823541951,0.0004174248707196,0.0004507280446247,0.0002932213094748,0.0005032606306516
1990-10-04,0.0005061232590626,0.0007050068200686,0.0004176898779613,0.000449492109619,0.0002931972913203,0.0005026532615861
1990-10-05,0.0005069027117907,0.0007055602230807,0.0004192105628733,0.0004479314077,0.0002927982751893,0.0005011112863617
1990-10-09,0.0005066312323786,0.0007050661294825,0.0004206677969521,0.0004480760866318,0.000293642565897,0.0005007293020524
1990-10-10,0.0005072920870887,0.0007048262923985,0.000420988309897,0.000448183828435,0.0002936866752643,0.0004980952506308
1990-10-11,0.0005088121666463,0.0007044076761583,0.0004206397076306,0.0004477245910614,0.0002936030130655,0.0004955416732902
1990-10-12,0.0005095718311258,0.0007044861026128,0.0004206365473617,0.000445652219341,0.0002931735361285,0.000496925373642
1990-10-15,0.000509159211603,0.0007018609365084,0.0004218918335246,0.0004442139632308,0.0002915871947027,0.0004968764152239
1990-10-16,0.0005080619875598,0.0006999321258627,0.0004135902358183,0.0004406605741364,0.0002930085465842,0.0004776406541944
1990-10-17,0.0005080021912214,0.0006999003178989,0.0004137441673759,0.0004337717206924,0.0002929473494487,0.0004787495951793
1990-10-18,0.0005032778131654,0.0006973124766799,0.0004060520181534,0.0004310140859915,0.0002884439025835,0.0004758287098039
1990-10-19,0.0005037791829958,0.0006973332942892,0.000406229150188,0.0004309276190987,0.0002920038063838,0.0004741724817963
1990-10-22,0.0005038315190272,0.0006979963889162,0.000406131669934,0.0004311828790208,0.0002968097347095,0.0004730551055466
1990-10-23,0.0005056804815729,0.0006979554751585,0.0004059074017608,0.0004291178461705,0.0002966178144991,0.0004727735151156
1990-10-24,0.0005075289994461,0.000687331220997,0.0004071877246662,0.0004287676391295,0.0002930104770914,0.000472681731496
1990-10-25,0.0005069831756812,0.0006835956831027,0.0004079798939051,0.0004290701257155,0.0002930774150799,0.0004725892105928
1990-10-26,0.0005068424145999,0.000678082713996,0.000408592594792,0.0004289285801031,0.0002941285139817,0.0004718098349575
1990-10-29,0.0005077767494173,0.0006773355681938,0.000409847374588,0.0004275863654064,0.0002946098444235,0.0004693369801252
1990-10-30,0.0005260675820519,0.000679915060279,0.000407223425617,0.000428352588829,0.0003030398101322,0.0004685794052435
1990-10-31,0.0005280263987782,0.000676424532364,0.0004074197184374,0.0004304680466759,0.0003014137665534,0.0004680418151148
1990-11-01,0.0005413187854416,0.0006761734581657,0.0004077620377512,0.0004308511181921,0.0002996565302983,0.0004734388698314
1990-11-02,0.0005493417059517,0.0006757876124604,0.000402075795465,0.0004294351032518,0.0002986095697158,0.0004736039909731
1990-11-05,0.000553344165482,0.0006763538563922,0.0004020583339675,0.0004290911665879,0.0003002655105717,0.0004742032647987
1990-11-06,0.0005544199363005,0.0006755409493527,0.0004004087626573,0.0004301696497455,0.0002995169645795,0.0004748830677539
1990-11-07,0.0005543703576952,0.0006729790678728,0.0004002120620505,0.000430173938079,0.0002982467432352,0.0004748012864383
1990-11-08,0.0005535080700037,0.0006727734759559,0.0003993788402413,0.0004314050311023,0.0002990823622827,0.0004755769054849
1990-11-09,0.000556689929887,0.0006561228988783,0.0004025113038223,0.0004310056130916,0.0002962784625636,0.0004729016302785
1990-11-13,0.000559788555896,0.0006561419036476,0.0004020461247912,0.0004301662756912,0.0002934239700663,0.0004728014137609
1990-11-14,0.0005571541398094,0.0006568799061305,0.0004015946824,0.00041725236248,0.0002948978285627,0.0004657673062053
1990-11-15,0.0005640254604954,0.0006575582284038,0.0004010630909343,0.0004281846885259,0.0002921845072794,0.000470389955879
1990-11-16,0.0005600431961898,0.000657461870868,0.000401553129602,0.0004234606088407,0.0002935469311765,0.0004759855131851
1990-11-19,0.0005700078313039,0.0006569108290261,0.0004027231821734,0.0004404889508885,0.000292063792029,0.0004836783023624
1990-11-20,0.0005663297490284,0.0006412756874283,0.0003984549329887,0.0004383073991794,0.0002928169847126,0.0004807520215833
1990-11-21,0.0005792158155222,0.0006392628883534,0.00041264103343,0.0004368983026001,0.0002886125375323,0.0004929594818181
1990-11-23,0.0005805867522411,0.0006388057723537,0.0004136621568692,0.0004364322950395,0.0002799379822034,0.0004934734221984
1990-11-26,0.000578274674248,0.0006389992706307,0.0004176534536332,0.0004351225700866,0.0002785056408198,0.0004923431903443
1990-11-27,0.0005830602217656,0.000637190188795,0.0004237185773386,0.000435665673208,0.0002733323207978,0.0004995107637111
1990-11-28,0.0005813913885845,0.0006389541369522,0.0004250487091606,0.0004347418678096,0.0002702362010233,0.0005005921662691
1990-11-29,0.0005827453968716,0.0006345109630844,0.0004255890077085,0.000433734741765,0.0002726885259811,0.0005011930598809
1990-11-30,0.0005802120541214,0.0006310473456085,0.0004195524584704,0.0004334682554523,0.0002735957207915,0.0005013042612323
1990-12-03,0.0005790234974703,0.0006302302340735,0.000419498522308,0.0004311161169052,0.0002730907285229,0.0005012089664388
1990-12-04,0.0005719412280393,0.0006250433767147,0.0004219320108063,0.0004317095795622,0.000274436122439,0.0004964320965836
1990-12-05,0.0005724951587952,0.0006243747994804,0.000421173520216,0.0004261915901427,0.0002771676782006,0.0004965351091449
1990-12-06,0.00057398149105,0.0006239478058952,0.0004207001670629,0.0004241033522624,0.0002787335089499,0.0004952580257861
